,entity,description,category,node_occurence_flag
2936,DNS SRV records,discovering peers through DNS SRV records,"network,process",Single
2943,Storage volume,Persistent storage resource for a pod,database,Single
2952,ReplicaSet A1,a ReplicaSet with 1 instance,container,Single
2953,Pod A1-xyz,a pod with a unique identifier xyz,container,Single
2954,PVC A2,Persistent Volume Claim for replica set A2,storage,Single
2955,PV A2,Persistent Volume for replica set A2,storage,Single
2956,ReplicaSet A2,a ReplicaSet with 1 instance,container,Single
2957,Pod A2-xzy,a pod with a unique identifier xzy,container,Single
2958,PVC A3,Persistent Volume Claim for replica set A3,storage,Single
2959,PV A3,Persistent Volume for replica set A3,storage,Single
2960,ReplicaSet A3,a ReplicaSet with 1 instance,container,Single
2961,Pod A3-zyx,a pod with a unique identifier zyx,container,Single
2981,Stateful pods,a type of pod that requires a stable name and state,software,Single
2982,Pets vs. Cattle analogy,a metaphor for treating app instances as either pets or cattle,concept,Single
2983,Stateless apps,applications where instances can be replaced without affecting the overall application,software,Single
2984,Stateful apps,"applications where instances have a stable name and state, requiring special treatment when an instance dies",software,Single
2994,headless Service,A Service that provides network identity without creating a load balancer.,software,Single
2995,DNS entry,A record in the DNS system that maps a hostname to an IP address.,network,Single
3004,foo.default.svc.cluster.local,domain for StatefulSet's pods' names,network,Single
3005,a-0.foo.default.svc.cluster.local,fully qualified domain name of Pod A-0,network,Single
3014,StatefulSets scale down,The process of scaling down a StatefulSet,process,Single
3015,distributed data store,A type of database that stores data across multiple nodes,database,Single
3016,data entry,A single unit of data stored in a database,database,Single
3020,PersistentVolume-Claims,allow persistent storage to be attached to a pod by referencing the PersistentVolumeClaim in the pod by name,database,Single
3024,volume claim templates,enable a StatefulSet to stamp out PersistentVolumeClaims along with each pod instance,process,Single
3027,replicas field,field in a StatefulSet that determines how many replicas to create,application,Single
3029,PVC A-0,PersistentVolumeClaim for pod A-0,database,Single
3032,PVC A-1,PersistentVolumeClaim for pod A-1,database,Single
3034,Pod A-1,"stateful pod that runs a stateful application, associated with PVC A-1 and PV",container,Single
3035,PVC A-2,PersistentVolumeClaim for pod A-2,database,Single
3037,Pod A-2,"stateful pod that runs a stateful application, associated with PVC A-2 and PV",container,Single
3046,scale-up,The process of increasing the number of replicas in a Kubernetes resource.,process,Single
3055,Data store,a simple clustered data store used as an example in the chapter,application,Single
3056,Kubia app,the starting point for building a stateful application,application,Single
3058,fs.createWriteStream(),a function used to create a write stream for writing data to a file,programming language,Single
3059,request.pipe(),a method used to pipe the request body into a write stream,programming language,Single
3060,fs.readFileSync(),a function used to read data from a file synchronously,programming language,Single
3061,fileExists(),a function used to check if a file exists,programming language,Single
3068,node:7,A Docker base image based on Node.js version 7.,container,Single
3070,http.createServer(handler),A Node.js function that creates an HTTP server and sets up a handler function.,process,Single
3071,listen(8080),A method call to start the HTTP server listening on port 8080.,process,Single
3074,gcloud compute disks create,A command to create a Google Compute Engine persistent disk.,command,Single
3079,List,object and listing the resources as items of the object,data structure,Single
3082,NFS (Network File System),volume type,software,Single
3086,"pv-a, pv-b, and pv-c",PersistentVolumes names,resource,Single
3087,1 Mi,capacity of each persistent volume,parameter,Single
3101,volumeClaimTemplates,a list of templates used to create PersistentVolumeClaims for pods in a StatefulSet,database,Single
3112,$ kubectl create -f kubia-statefulset.yaml ,command to create a StatefulSet,command,Single
3113,kubia-statefulset.yaml,configuration file for the StatefulSet,file,Single
3118,$ kubectl get po kubia-0 -o yaml,command to view the pod spec in YAML format,command,Single
3125,/var/data,The mount path for the data volume.,hardware,Single
3128,default-token-r2m41,A secret that provides authentication tokens for the StatefulSet.,software,Single
3130,get pvc,A command used to list PersistentVolumeClaims.,software,Single
3132,data-kubia-0,A PersistentVolumeClaim created by the StatefulSet.,software,Single
3133,pv-c,A Persistent Volume object associated with the data-kubia-0 PVC.,hardware,Single
3134,pv-a,A Persistent Volume object associated with another PVC.,hardware,Single
3139,/api/v1/namespaces/default/pods/kubia-0/proxy/<path>,A URL used to proxy connections directly to a pod through the API server.,hardware,Single
3148,kubia-0 pod,a container running a simple web application,container,Single
3149,API server host and port,the address of the API server,network,Single
3151,-L option,an option for curl to follow redirects,software,Single
3152,kubectl proxy and API server proxy,two different proxies used to access the pod,software,Single
3161,localhost:8001/api/v1/namespaces/default/pods/kubia-0/proxy/,The URL for accessing the kubia-0 pod's proxy service.,url,Single
3162,DELETING A STATEFUL POD,A process of deleting a StatefulSet pod and verifying its behavior.,process,Single
3163,reschedule,The process of scheduling a new pod to replace an existing one.,process,Single
3169,persistent data,data stored on a persistent volume,database,Single
3176,ordinal number,the order of a pod in a StatefulSet,process,Single
3180,ClusterIP Service,a type of Service that is only accessible from within the cluster,application,Single
3188,StatefulSet peer discovery,the ability to find other members of a StatefulSet within the cluster,process,Single
3189,SRV record,Used to point to hostnames and ports of servers providing a specific service.,network,Single
3191,A record,Used to map a hostname to an IP address.,network,Single
3193,MX record,Used to specify the mail server responsible for a domain.,network,Single
3194,dig DNS lookup tool,A command-line tool used to perform DNS lookups.,software,Single
3196,tutum/dnsutils image,A Docker image containing the DNS utilities.,container,Single
3200,dns.resolveSrv() function,A Node.js function used to perform an SRV DNS lookup.,function,Single
3206,Stone Age data store,"An unclustered, independent data storage system",database,Single
3208,kubia-public Service,A Kubernetes service that exposes the kubia application to clients,application,Single
3209,dns.resolveSrv,A function in Node.js that performs a DNS SRV record lookup,library,Single
3210,fs.readFileSync,A function in Node.js that reads a file synchronously,library,Single
3211,os.hostname,A property of the os module in Node.js that returns the hostname of the machine,library,Single
3213,request,An object representing an HTTP request,network,Single
3214,response,An object representing an HTTP response,network,Single
3215,fileExists,A function in the kubia-pet-peers-image/app.js file that checks if a file exists,library,Single
3217,addresses.forEach,iterating over a list of addresses,javascript,Single
3219,requestOptions,object containing options for the HTTP request,javascript,Single
3223,returnedData,data returned from the HTTP GET request,javascript,Single
3224,numResponses,counter for tracking the number of responses received,javascript,Single
3225,response.write,method for writing output to a response object,javascript,Single
3227,docker.io/luksa/kubia-pet-peers,container image URL,software,Single
3232,GET /data,HTTP request method and path,http,Single
3238,spec.template.spec.containers.image,A field in the StatefulSet definition that specifies the image to use for each replica.,field,Single
3241,StatefulSet updateStrategy,A field in the StatefulSet definition that specifies how to update the set of replicas.,field,Single
3243,POST,An HTTP method used to create or update resources on the server.,protocol,Single
3244,localhost:8001/api/v1/namespaces/default/services/kubia-public/proxy/,A URL that specifies the endpoint for sending requests to a service in a cluster.,url,Single
3245,pod kubia-0,A specific pod instance running on a node in the cluster.,application,Single
3246,pod kubia-1,A specific pod instance running on a node in the cluster.,application,Single
3250,/kubia-public/proxy/,service endpoint,endpoint,Single
3251,kubia-0.kubia.default.svc.cluster.local,pod name,pod,Single
3252,kubia-1.kubia.default.svc.cluster.local,pod name,pod,Single
3253,kubia-2.kubia.default.svc.cluster.local,pod name,pod,Single
3262,node failures,An event where a node in the Kubernetes cluster fails or becomes unavailable.,hardware,Single
3263,$ sudo ifconfig eth0 down,A Linux command that shuts down a network interface.,command,Single
3266,NotReady,A status that the control plane assigns to a node when it is no longer receiving updates from the node.,status,Single
3267,$ kubectl get node,A Kubernetes command that lists all nodes in the cluster.,command,Single
3270,Unknown,A status that the control plane assigns to a pod when it is no longer receiving updates from the node.,status,Single
3271,evicted,An event where a pod is automatically deleted by the master due to its unknown status for an extended period.,process,Single
3280,gke-kubia-default-pool-32a2cac8-m0g1,name of the node being examined,hardware,Single
3281,NodeLost,reason for pod termination due to unresponsive node,error,Single
3282,Terminating,status of the pod being deleted,process,Single
3284,"pod ""kubia-0"" deleted",output of kubectl delete command indicating successful deletion,output,Single
3295,--force,"The --force option tells kubectl to delete the pod immediately, without waiting for confirmation from the Kubelet.",option,Single
3296,--grace-period,The --grace-period option specifies how long to wait before deleting a pod.,option,Single
3301,GCE web console,The GCE (Google Compute Engine) web console is a graphical interface for managing Google Cloud resources.,application,Single
3306,host names,connect to other members through their host names,network,Single
3311,Deployment object,Resource that represents a set of replicas,resource,Single
3312,Running pod,Pod that is currently executing,container,Single
3313,Network between pods,Communication mechanism between pods,network,Single
3314,Kubernetes Services,Resource that provides a network identity and load balancing for accessing applications,resource,Single
3315,High-availability,Capability to ensure continuous operation of an application or system,application,Single
3318,etcd distributed persistent storage,A component that stores and manages the state of the cluster.,database,Single
3323,Kubernetes Service Proxy (kube-proxy),A component that provides network connectivity to services running in the cluster.,application,Single
3324,Container Runtime,"A component that runs containers on worker nodes, such as Docker or rkt.",container,Single
3325,Kubernetes DNS server,A component that provides DNS resolution for services running in the cluster.,application,Single
3329,Container Network Interface network plugin,A component that provides networking capabilities for containers running in the cluster.,network,Single
3337,attach,kubectl command to attach to a running container,command,Single
3340,componentstatuses,API resource that shows the health status of each Control Plane component,software,Single
3342,Worker node(s),Nodes that run Kubelet and other components,hardware,Single
3360,etcd instance,can be run multiple times for high availability and better performance,process,Single
3361,optimistic locking system,a method where data includes a version number to prevent concurrent updates,process,Single
3362,metadata.resourceVersion field,a field that clients need to pass back to the API server when updating an object,database,Single
3364,/registry,the top-level directory where Kubernetes stores all its data in etcd,directory,Single
3366,daemonsets,a type of resource stored in etcd under /registry/daemonsets,resource,Single
3367,deployments,a type of resource stored in etcd under /registry/deployments,resource,Single
3380,/registry/pods,Directory in etcd that stores pod information,directory,Single
3381,/registry/pods/default,Subdirectory of /registry/pods that stores default namespace pods,directory,Single
3382,kubia-159041347-wt6ga,Pod name and identifier,container,Single
3387,RAFT consensus algorithm,Consensus protocol used by etcd to ensure consistency across nodes,algorithm,Single
3388,Control Plane components,"Components that manage the Kubernetes cluster, including the API server and etcd",software,Single
3390,quorum,Majority of nodes required for a state change in an etcd cluster,concept,Single
3391,state changes,Updates made to the cluster state by clients or other nodes,process,Single
3395,RESTful API,"an architectural style for designing networked applications, emphasizing simplicity and scalability",protocol,Single
3397,majority,"the minimum number of etcd instances required for a quorum, ensuring the cluster can transition to a new state",concept,Single
3398,CRUD interface,"a set of operations (Create, Read, Update, Delete) provided by the Kubernetes API server for querying and modifying cluster state",protocol,Single
3399,optimistic locking,a mechanism used by the Kubernetes API server to prevent changes to an object from being overridden by other clients in concurrent updates,concept,Single
3401,resource validation,the process of verifying that a resource meets certain criteria before it is stored in etcd,concept,Single
3402,HTTP POST request,a type of HTTP request used by kubectl to create resources through the Kubernetes API server,protocol,Single
3403,Authentication Plugins,Plugins configured in the API server to authenticate clients sending requests.,Software,Single
3405,HTTP Request,The request sent by the client to the API server.,Network,Single
3406,Client Certificate,A certificate used by clients to authenticate themselves.,Software,Single
3407,HTTP Header,A header in the HTTP request that contains authentication information.,Network,Single
3408,Authorization Plugins,Plugins configured in the API server to determine whether authenticated users can perform actions on requested resources.,Software,Single
3412,Admission Control Plugins,Plugins that validate and/or modify resources in requests.,Software,Single
3413,AlwaysPullImages,An Admission Control plugin that overrides the pod's imagePullPolicy to Always.,Software,Single
3417,Admission Control plugins,Plugins that validate incoming requests before they are processed by the API server.,software,Single
3422,kubectl tool,A client used to interact with the API server and watch resources for changes.,software,Single
3423,HTTP connection,The protocol used by clients to connect to the API server and receive notifications of resource changes.,network,Single
3424,stream of modifications,A continuous flow of updates sent by the API server to connected clients watching resources.,process,Single
3425,watched objects,"Resources being observed by clients for changes, such as pods or services.",application,Single
3426,--watch flag,A command-line option used with kubectl to enable watching resources for changes.,software,Single
3427,GET /.../pods?watch=true,An HTTP request used by clients to watch pods for changes.,command,Single
3428,POST /.../pods/pod-xyz,An HTTP request used by clients to create a new pod resource.,command,Single
3429,Send updated object to all watchers,The process by which the API server notifies connected clients of changes to watched resources.,process,Single
3430,kubia-159041347-14j3i,pod name,container,Single
3435,watch mechanism,API server feature used by the Scheduler and Kubelet,network,Single
3439,kubectl get pods -o yaml --watch,command used to print pod definitions with watch mechanism,software,Single
3440,round-robin,algorithm used to prioritize nodes when multiple have the highest score,process,Single
3445,Predicate functions,Functions used to check node eligibility for pod scheduling,software,Single
3446,Hardware resources,"Resources such as CPU, memory, and disk space required by a pod",hardware,Single
3447,Memory pressure condition,Condition where a node is running low on memory,hardware,Single
3448,Disk pressure condition,Condition where a node is running low on disk space,hardware,Single
3449,Node selector,Label used to select specific nodes for pod scheduling,software,Single
3450,Host port,Port used by a pod to communicate with the host machine,network,Single
3452,Taints and tolerations,Mechanism for node affinity and anti-affinity rules,software,Single
3453,Affinity or anti-affinity rules,Rules used to select specific nodes for pod scheduling,software,Single
3464,ReplicationManager,Controller for ReplicationController resources,controller,Single
3475,Watch mechanism,Mechanism used by controllers to be notified of changes to resources,process,Single
3476,Re-list operation,Periodic operation performed by controllers to ensure they haven't missed any events,process,Single
3478,Constructor,Method used by controllers to create an Informer and initialize themselves,software,Single
3482,Pod resources,resources that represent running containers in the cluster,software,Single
3484,syncHandler,function that gets invoked each time the controller needs to do something,software,Single
3485,ReplicationController resources,resources that represent the desired replica count and actual replica count,software,Single
3486,Worker() method,method that gets invoked each time the controller needs to do something,software,Single
3507,EndPoints controller,The active component that keeps the endpoint list constantly updated with the IPs and ports of pods matching the label selector.,process,Single
3518,Kubernetes Service Proxies,components that perform load balancing across pods,application,Single
3523,rkt,container runtime used by CoreOS,software,Single
3526,Kubelet manifest directory,local directory where pod manifests are stored,file system,Single
3527,pod manifests,files that contain pod configuration information,file system,Single
3532,Kubernetes Service Proxy,Ensures connections to service IP and port end up at one of the pods backing that service,application,Single
3536,Worker node,A machine that runs the Kubelet and manages containers,hardware,Single
3540,userspace proxy mode,a mode of operation for kube-proxy where packets are handled in user space,process,Single
3541,in kernel space,a mode of operation for kube-proxy where packets are handled by the Kernel,process,Single
3542,round-robin fashion,a method of balancing connections across pods,algorithm,Single
3543,Kubernetes add-ons,components that enable additional features in a Kubernetes cluster,software,Single
3546,dashboard add-ons,components that provide a web interface for managing a Kubernetes cluster,software,Single
3552,default-http-backend,deployment for default HTTP backend,application,Single
3553,kubernetes-dashboard,deployment for Kubernetes dashboard,application,Single
3554,nginx-ingress-controller,deployment for Nginx ingress controller,application,Single
3555,DNS add-on,add-on for DNS service,software,Single
3559,cluster's internal DNS server,DNS service within the cluster,software,Single
3560,kube-dns service,service for Kubernetes DNS server,application,Single
3561,nameserver,DNS resolver in /etc/resolv.conf file,hardware,Single
3562,API server's watch mechanism,mechanism to observe changes to resources,software,Single
3563,Services and Endpoints,resources for services and endpoints,application,Single
3565,reverse proxy server,server to forward traffic to pods,hardware,Single
3591,ReplicaSet A,example ReplicaSet resource,application,Single
3593,Node X,example node in a Kubernetes cluster,hardware,Single
3597,ReplicaSet Controller,A specific controller that manages ReplicaSets,software,Single
3605,Event,A Kubernetes resource that represents a notification about a specific action or change,software,Single
3611,KIND,column in the events list that shows the type of resource being acted on,column,Single
3612,REASON,column in the events list that shows why a controller action was taken,column,Single
3613,SOURCE,column in the events list that shows which controller performed an action,column,Single
3614,deployment-controller,controller responsible for managing deployments in Kubernetes,controller,Single
3615,replicaset-controller,controller responsible for managing replica sets in Kubernetes,controller,Single
3616,default-scheduler,scheduler that assigns pods to nodes by default in Kubernetes,scheduler,Single
3627,docker,a containerization platform,software,Single
3628,minikubeVM,the virtual machine running minikube,hardware,Single
3629,CONTAINER ID,a unique identifier for a Docker container,attribute,Single
3630,IMAGE,the image used to create a Docker container,attribute,Single
3631,COMMAND,the command run by a Docker container,attribute,Single
3634,pod infrastructure container,a container that holds all the namespaces for a pod,container type,Single
3636,Inter-pod networking,communication between pods in Kubernetes,application,Single
3641,NAT,Network Address Translation,networking,Single
3645,IP: 10.1.1.1,IP address of Pod A,network,Single
3646,srcIP: 10.1.1.1,source IP address of packet sent by Pod A,network,Single
3647,dstIP: 10.1.2.1,destination IP address of packet sent by Pod A,network,Single
3651,Pod X,Client pod providing notification service,container,Single
3652,Pod Y,Notification service pod,container,Single
3654,NAT-less communication,Communication between pods without network address translation,process,Single
3655,pause container,Infrastructure container holding pod's IP address and network namespace,container,Single
3659,node-to-pod communication,Communication between a node and a pod,process,Single
3660,pod-to-node communication,Communication between a pod and a node,process,Single
3661,outbound packets,Packets sent from a pod to the internet,network,Single
3662,interface,The interface in the host's network namespace is attached to a network bridge.,network,Single
3669,overlay networks,"This can be done with overlay or underlay networks or by regular layer 3 routing, which we'll look at next.",network,Single
3670,underlay networks,"This can be done with overlay or underlay networks or by regular layer 3 routing, which we'll look at next.",network,Single
3671,layer 3 routing,The node's physical network interface needs to be connected to the bridge as well.,network,Single
3672,routing tables,"Routing tables on node A need to be configured so all packets destined for 10.1.2.0/24 are routed to node B, whereas node B's routing tables need to be configured so packets sent to 10.1.1.0/24 are routed to node A.",network,Single
3673,pod C,Pod C is running on Node B and has an IP address of 10.1.2.1.,application,Single
3677,physical adapter,Hardware component that connects a computer to a network,hardware/network,Single
3680,Software Defined Network (SDN),Network architecture that uses software to manage network behavior,hardware/network,Single
3681,Container Network Interface (CNI),Project that allows Kubernetes to use any CNI plugin,software/container,Single
3682,Calico,CNI plugin for container networking,software/container,Single
3684,Romana,CNI plugin for container networking,software/container,Single
3685,Weave Net,CNI plugin for container networking,software/container,Single
3694,Endpoints objects,holds the IP/port pairs of all the pods that back the service,database,Single
3697,network interfaces,not assigned to the service IP address and port,hardware,Single
3699,kube-proxy agents,"running on worker nodes, notified by API server when a new Service is created",process,Single
3701,kernel,the core part of an operating system that manages hardware resources,hardware,Single
3703,node A,a Kubernetes node running on machine A,application,Single
3704,node B,a Kubernetes node running on machine B,application,Single
3707,Pod B1,a containerized application running on a Kubernetes pod,container,Single
3708,Pod B2,a containerized application running on a Kubernetes pod,container,Single
3709,Pod B3,a containerized application running on a Kubernetes pod,container,Single
3710,Packet X,an example network packet being routed through the service,network,Single
3711,Service B,a Kubernetes service providing access to multiple backend pods,application,Single
3713,Endpoints B,a collection of IP addresses and ports associated with a Kubernetes service,database,Single
3720,Leader-election mechanism,Method for multiple app instances to agree on a leader,software,Single
3722,Kubernetes Control Plane components,Components responsible for managing Kubernetes cluster state,software,Single
3731,Load balancer,Component that distributes incoming traffic across multiple nodes,application,Single
3732,Master node,Node that runs the Control Plane components,node,Single
3738,--leader-elect option,an option that controls which instance is active at a time,command,Single
3746,leader election mechanism,a way to elect a leader in control plane components,process,Single
3749,kube-scheduler,an instance of the Scheduler component,software,Single
3752,get endpoints,a command used to retrieve information about an Endpoints resource,command,Single
3753,leaderTransitions,a field in the leader election annotation,field,Single
3754,leaseDurationSeconds,a field in the leader election annotation,field,Single
3761,Infrastructure Container,binds together all containers of a pod,container,Single
3762,Network Bridge,connects pods running on different nodes,network,Single
3765,ServiceAccount token,A token used to authenticate with the Kubernetes API server.,process,Single
3774,default roles and bindings,Pre-configured Roles and RoleBindings provided by Kubernetes.,database,Single
3776,API server core,the central part of the API server that receives requests from authentication plugins,application,Single
3777,client certificate,a method used by authentication plugins to obtain the identity of the client,hardware,Single
3778,authentication token,a method used by authentication plugins to obtain the identity of the client through an HTTP header,software,Single
3779,Basic HTTP authentication,a method used by authentication plugins to obtain the identity of the client,software,Single
3782,service accounts,a mechanism used by pods to authenticate themselves,software,Single
3783,ServiceAccount resources,resources created and stored in the cluster for service accounts,database,Single
3787,system:unauthenticated group,Used for requests where none of the authentication plugins could authenticate the client.,group,Single
3788,system:authenticated group,Automatically assigned to a user who was authenticated successfully.,group,Single
3789,system:serviceaccounts group,Encompasses all ServiceAccounts in the system.,group,Single
3792,ServiceAccount usernames,"Formatted like system:serviceaccount:<namespace>:<service account name>, and are passed to the API server core for authorization.",string,Single
3794,ServiceAccounts resource,"A resource just like Pods, Secrets, ConfigMaps, and so on, scoped to individual namespaces.",resource,Single
3796,$ kubectl get sa,A command used to list ServiceAccounts in a namespace.,command,Single
3803,cluster administrator,"The cluster administrator is responsible for configuring and managing the Kubernetes cluster, including setting up authorization plugins.",hardware,Single
3809,sa,abbreviation for ServiceAccount,application,Single
3810,foo-token-qzq7j,token Secret associated with the foo ServiceAccount,secret,Single
3811,JSON Web Tokens (JWT),a type of authentication token used in ServiceAccounts,software,Single
3815,Mountable secrets,list of Secrets that can be mounted inside a pod using a ServiceAccount,application,Single
3821,image pull Secrets,Secrets that hold the credentials for pulling container images from a private image repository.,database,Single
3822,mountable Secrets,"Secrets that can be mounted by a pod, allowing it to access sensitive information.",database,Single
3833,foo ServiceAccount,Custom ServiceAccount used in the example,software,Single
3837,/var/run/secrets/kubernetes.io/serviceaccount/token,Path to the ServiceAccount token file,path,Single
3839,localhost:8001/api/v1/pods,API endpoint for listing pods,url,Single
3843,Role-Based Access Control (RBAC),A plugin used to secure the cluster by preventing unauthorized users from viewing or modifying the cluster state.,authorization,Single
3845,RBAC authorization plugin,"A plugin that enables role-based access control in a Kubernetes cluster, preventing unauthorized users from viewing or modifying the cluster state.",authorization,Single
3846,Attribute-Based Access Control (ABAC),An authorization plugin that allows access to be controlled based on attributes of users and resources.,authorization,Single
3847,Web-Hook plugin,An authorization plugin that uses web hooks to control access to a Kubernetes cluster.,authorization,Single
3848,custom plugin implementations,Custom plugins implemented by users to control access to a Kubernetes cluster.,authorization,Single
3850,REST resources,"Resources in a Kubernetes cluster that can be accessed using HTTP requests, such as Pods, Services, Secrets, etc.",application,Single
3853,PUT request,A type of HTTP request used to update existing resources in a Kubernetes cluster.,protocol,Single
3854,DELETE request,A type of HTTP request used to delete resources from a Kubernetes cluster.,protocol,Single
3860,roles,User-defined roles that define permissions for users or ServiceAccounts,process,Single
3878,clusterrole,Resource that defines permissions for a cluster-wide role,resource,Single
3895,Role resource,allows users to get and list Services in the foo namespace,software,Single
3913,YAML file,file format for defining Kubernetes resources,software,Single
3915,cluster-admin rights,permissions required to manage a Kubernetes cluster,software,Single
3920,--verb=get,command-line option for specifying the actions allowed by a Role,software,Single
3921,--verb=list,command-line option for specifying the actions allowed by a Role,software,Single
3922,--resource=services,command-line option for specifying the resources affected by a Role,software,Single
3923,--namespace=foo,command-line option for specifying the namespace in which to create a resource,software,Single
3924,--clusterrolebinding,command-line option for creating a clusterrolebinding resource,software,Single
3932,ServiceList,A Kubernetes object that represents a list of Services.,software,Single
3934,localhost:8001/api/v1/namespaces/foo/services,The URL of the Kubernetes API server to list Services in the foo namespace.,network,Single
3937,rolebinding,"a resource that binds a role to a set of subjects, such as users or service accounts",software,Single
3939,role,a resource that defines a set of permissions within a Kubernetes namespace,software,Single
3946,test,a role binding name,software,Single
3955,Service-Accounts,An identity for a service running in a Kubernetes cluster.,resource,Single
3961,,"the empty string, indicating that the rule applies to all API groups",software,Single
3963,persistentvolumes,a resource type in Kubernetes that represents a persistent volume,software,Single
3984,PersistentVolumeList,A list of PersistentVolumes in the cluster.,software,Single
3990,/api/*,A non-resource URL pattern exposed by the API server.,network,Single
3992,/apis/*,A non-resource URL pattern exposed by the API server.,network,Single
3993,/healthz,A non-resource URL exposed by the API server.,network,Single
3994,/swaggerapi,A non-resource URL exposed by the API server.,network,Single
3995,/swaggerapi/*,A non-resource URL pattern exposed by the API server.,network,Single
3996,/version,A non-resource URL exposed by the API server.,network,Single
3998,get clusterrole system:discovery -o yaml,A command used to retrieve the system:discovery ClusterRole in YAML format.,software,Single
4005,system:discovery,A specific ClusterRole and ClusterRoleBinding used for discovery purposes.,software,Single
4009,system:authenticated,A group that represents all authenticated users in a Kubernetes cluster.,software,Single
4010,system:unauthenticated,A group that represents all unauthenticated users in a Kubernetes cluster.,software,Single
4011,authentication plugin,A component of the Kubernetes API server responsible for authenticating incoming requests.,software,Single
4018,APIVersions,a Kubernetes concept for managing API versions,software,Single
4020,view,a predefined ClusterRole that allows reading namespaced resources,software,Single
4025,replicationcontrollers,a type of Kubernetes resource for managing replication and scaling,software,Single
4035,/api/v1/pods,An API endpoint that lists pods across all namespaces.,API Endpoint,Single
4036,/api/v1/namespaces/foo/pods,An API endpoint that lists pods in a specific namespace (foo).,API Endpoint,Single
4056,localhost:8001/api/v1/namespaces/bar/pods,A URL endpoint for listing pods in the 'bar' namespace.,url,Single
4057,system:serviceaccount:foo:default,A service account user with permissions to list pods in the 'foo' namespace.,user,Single
4074,system:auth-delegator,a ClusterRole that grants authentication delegation permissions in a Kubernetes cluster,software,Single
4075,system:basic-user,a ClusterRole that grants basic user permissions in a Kubernetes cluster,software,Single
4076,system:controller:attachdetach-controller,a ClusterRole that grants attach/detach controller permissions in a Kubernetes cluster,software,Single
4079,view ClusterRole,"It allows read-ing most resources in a namespace, except for Roles, RoleBindings, and Secrets.",software,Single
4083,edit ClusterRole,"It allows you to modify resources in a namespace, but also allows both reading and modifying Secrets.",software,Single
4084,admin ClusterRole,Complete control of the resources in a namespace is granted in the admin Cluster-Role.,software,Single
4085,cluster-admin ClusterRole,"Subjects with this ClusterRole can read and modify any resource in the namespace, except ResourceQuotas (we’ll learn what those are in chapter 14) and the Namespace resource itself.",software,Single
4086,ResourceQuotas,They’re used to limit the resources that a namespace can use.,software,Single
4098,ClusterAdmin,The highest level of permissions in the cluster,application,Single
4099,ServiceAccountName,A property that specifies the service account to use for a pod,application,Single
4101,ServiceAccountToken,An authentication token used by a ServiceAccount to authenticate with the API server,database,Single
4117,policies,rules that govern what pods can do,software,Single
4120,IP and port space,Each pod gets its own IP and port space,network,Single
4123,Inter-Process Communication (IPC),Mechanism for processes in the same pod to communicate,process,Single
4124,hostNetwork property,Allow pods to use node's network interfaces instead of their own,network,Single
4125,node's network adapters,Pods can use node's network adapters instead of virtual network adapters,hardware,Single
4126,virtual network adapters,Pods have their own virtual network adapters,hardware,Single
4130,eth1,Node's network interface,network,Single
4137,ifconfig,a command to display network interface information,command,Single
4141,veth1178d4f,a virtual Ethernet interface for a pod,hardware,Single
4156,port 9000,A port on the node that is bound to the pod's port 8080.,hardware/network,Single
4159,firewall-rules,Rules used to configure the firewall in GKE.,hardware/network,Single
4163,pod-with-host-pid-and-ipc.yaml,A YAML file used to define a pod that uses the host's PID and IPC namespaces.,software/configuration,Single
4164,kubia-hostport.yaml,A YAML file used to define a pod that binds to a port on the node.,software/configuration,Single
4168,ps aux,Unix command to list processes,command,Single
4170,Inter-Process Communication,mechanism for processes to communicate with each other,process,Single
4172,user ID,ID of the user under which a process will run,process,Single
4174,privileged mode,mode that gives full access to the node's kernel,property,Single
4176,SELinux,Security Enhanced Linux options to lock down a container,property,Single
4178,hostPID: true,property to enable processes in the pod's containers to communicate with host processes,property,Single
4183,bin,system binary directory,hardware,Single
4184,daemon,system daemon process,process,Single
4185,sys,system group,group,Single
4186,adm,administrators group,group,Single
4188,wheel,superuser group,group,Single
4189,floppy,floppy disk device group,hardware,Single
4190,dialout,dial-out modem group,group,Single
4191,tape,tape drive device group,hardware,Single
4192,video,video display device group,hardware,Single
4204,runAsNonRoot,A boolean flag that specifies whether a container should be allowed to run as root or not.,process,Single
4215,/dev,A special file directory on Linux systems containing device files for all devices on the system.,directory,Single
4216,device files,Special files used to communicate with devices on a Linux system.,files,Single
4222,/dev/null,A special file in Linux systems used to discard output or redirect input.,file,Single
4223,/dev/zero,A special file in Linux systems that generates a stream of zeros.,file,Single
4224,/dev/random,A special file in Linux systems that generates a stream of random numbers.,file,Single
4225,btrfs-control,device,hardware,Single
4226,stderr,file descriptor,process,Single
4227,tty48,terminal device,hardware,Single
4228,core,system core file,software,Single
4229,stdin,standard input stream,process,Single
4230,tty49,terminal device,hardware,Single
4231,stdout,standard output stream,process,Single
4232,tty5,terminal device,hardware,Single
4233,cpu_dma_latency,CPU DMA latency file,software,Single
4234,termination-log,system log file,software,Single
4235,tty50,terminal device,hardware,Single
4236,fd,file descriptor,process,Single
4237,tty,terminal device,hardware,Single
4238,tty51,terminal device,hardware,Single
4239,full,device,hardware,Single
4240,tty0,terminal device,hardware,Single
4241,fuse,file system,software,Single
4242,tty1,terminal device,hardware,Single
4243,hpet,high precision event timer,hardware,Single
4244,tty10,terminal device,hardware,Single
