,index,Unnamed: 0,entity,description,category,node_occurence_flag
935,935,3163,reschedule,The process of scheduling a new pod to replace an existing one.,process,Single
936,936,3169,persistent data,data stored on a persistent volume,database,Single
937,937,3176,ordinal number,the order of a pod in a StatefulSet,process,Single
938,938,3180,ClusterIP Service,a type of Service that is only accessible from within the cluster,application,Single
939,939,3188,StatefulSet peer discovery,the ability to find other members of a StatefulSet within the cluster,process,Single
940,940,3189,SRV record,Used to point to hostnames and ports of servers providing a specific service.,network,Single
941,941,3191,A record,Used to map a hostname to an IP address.,network,Single
942,942,3193,MX record,Used to specify the mail server responsible for a domain.,network,Single
943,943,3194,dig DNS lookup tool,A command-line tool used to perform DNS lookups.,software,Single
944,944,3196,tutum/dnsutils image,A Docker image containing the DNS utilities.,container,Single
945,945,3200,dns.resolveSrv() function,A Node.js function used to perform an SRV DNS lookup.,function,Single
946,946,3206,Stone Age data store,"An unclustered, independent data storage system",database,Single
947,947,3208,kubia-public Service,A Kubernetes service that exposes the kubia application to clients,application,Single
948,948,3209,dns.resolveSrv,A function in Node.js that performs a DNS SRV record lookup,library,Single
949,949,3210,fs.readFileSync,A function in Node.js that reads a file synchronously,library,Single
950,950,3211,os.hostname,A property of the os module in Node.js that returns the hostname of the machine,library,Single
951,951,3213,request,An object representing an HTTP request,network,Single
952,952,3214,response,An object representing an HTTP response,network,Single
953,953,3215,fileExists,A function in the kubia-pet-peers-image/app.js file that checks if a file exists,library,Single
954,954,3217,addresses.forEach,iterating over a list of addresses,javascript,Single
955,955,3219,requestOptions,object containing options for the HTTP request,javascript,Single
956,956,3223,returnedData,data returned from the HTTP GET request,javascript,Single
957,957,3224,numResponses,counter for tracking the number of responses received,javascript,Single
958,958,3225,response.write,method for writing output to a response object,javascript,Single
959,959,3227,docker.io/luksa/kubia-pet-peers,container image URL,software,Single
960,960,3232,GET /data,HTTP request method and path,http,Single
961,961,3238,spec.template.spec.containers.image,A field in the StatefulSet definition that specifies the image to use for each replica.,field,Single
962,962,3241,StatefulSet updateStrategy,A field in the StatefulSet definition that specifies how to update the set of replicas.,field,Single
963,963,3243,POST,An HTTP method used to create or update resources on the server.,protocol,Single
964,964,3244,localhost:8001/api/v1/namespaces/default/services/kubia-public/proxy/,A URL that specifies the endpoint for sending requests to a service in a cluster.,url,Single
965,965,3245,pod kubia-0,A specific pod instance running on a node in the cluster.,application,Single
966,966,3246,pod kubia-1,A specific pod instance running on a node in the cluster.,application,Single
967,967,3250,/kubia-public/proxy/,service endpoint,endpoint,Single
968,968,3251,kubia-0.kubia.default.svc.cluster.local,pod name,pod,Single
969,969,3252,kubia-1.kubia.default.svc.cluster.local,pod name,pod,Single
970,970,3253,kubia-2.kubia.default.svc.cluster.local,pod name,pod,Single
971,971,3262,node failures,An event where a node in the Kubernetes cluster fails or becomes unavailable.,hardware,Single
972,972,3263,$ sudo ifconfig eth0 down,A Linux command that shuts down a network interface.,command,Single
973,973,3266,NotReady,A status that the control plane assigns to a node when it is no longer receiving updates from the node.,status,Single
974,974,3267,$ kubectl get node,A Kubernetes command that lists all nodes in the cluster.,command,Single
975,975,3270,Unknown,A status that the control plane assigns to a pod when it is no longer receiving updates from the node.,status,Single
976,976,3271,evicted,An event where a pod is automatically deleted by the master due to its unknown status for an extended period.,process,Single
977,977,3280,gke-kubia-default-pool-32a2cac8-m0g1,name of the node being examined,hardware,Single
978,978,3281,NodeLost,reason for pod termination due to unresponsive node,error,Single
979,979,3282,Terminating,status of the pod being deleted,process,Single
980,980,3284,"pod ""kubia-0"" deleted",output of kubectl delete command indicating successful deletion,output,Single
981,981,3295,--force,"The --force option tells kubectl to delete the pod immediately, without waiting for confirmation from the Kubelet.",option,Single
982,982,3296,--grace-period,The --grace-period option specifies how long to wait before deleting a pod.,option,Single
983,983,3301,GCE web console,The GCE (Google Compute Engine) web console is a graphical interface for managing Google Cloud resources.,application,Single
984,984,3306,host names,connect to other members through their host names,network,Single
985,985,3311,Deployment object,Resource that represents a set of replicas,resource,Single
986,986,3312,Running pod,Pod that is currently executing,container,Single
987,987,3313,Network between pods,Communication mechanism between pods,network,Single
988,988,3314,Kubernetes Services,Resource that provides a network identity and load balancing for accessing applications,resource,Single
989,989,3315,High-availability,Capability to ensure continuous operation of an application or system,application,Single
990,990,3318,etcd distributed persistent storage,A component that stores and manages the state of the cluster.,database,Single
991,991,3323,Kubernetes Service Proxy (kube-proxy),A component that provides network connectivity to services running in the cluster.,application,Single
992,992,3324,Container Runtime,"A component that runs containers on worker nodes, such as Docker or rkt.",container,Single
993,993,3325,Kubernetes DNS server,A component that provides DNS resolution for services running in the cluster.,application,Single
994,994,3329,Container Network Interface network plugin,A component that provides networking capabilities for containers running in the cluster.,network,Single
995,995,3337,attach,kubectl command to attach to a running container,command,Single
996,996,3340,componentstatuses,API resource that shows the health status of each Control Plane component,software,Single
997,997,3342,Worker node(s),Nodes that run Kubelet and other components,hardware,Single
998,998,3360,etcd instance,can be run multiple times for high availability and better performance,process,Single
999,999,3361,optimistic locking system,a method where data includes a version number to prevent concurrent updates,process,Single
1000,1000,3362,metadata.resourceVersion field,a field that clients need to pass back to the API server when updating an object,database,Single
1001,1001,3364,/registry,the top-level directory where Kubernetes stores all its data in etcd,directory,Single
1002,1002,3366,daemonsets,a type of resource stored in etcd under /registry/daemonsets,resource,Single
1003,1003,3367,deployments,a type of resource stored in etcd under /registry/deployments,resource,Single
1004,1004,3380,/registry/pods,Directory in etcd that stores pod information,directory,Single
1005,1005,3381,/registry/pods/default,Subdirectory of /registry/pods that stores default namespace pods,directory,Single
1006,1006,3382,kubia-159041347-wt6ga,Pod name and identifier,container,Single
1007,1007,3387,RAFT consensus algorithm,Consensus protocol used by etcd to ensure consistency across nodes,algorithm,Single
1008,1008,3388,Control Plane components,"Components that manage the Kubernetes cluster, including the API server and etcd",software,Single
1009,1009,3390,quorum,Majority of nodes required for a state change in an etcd cluster,concept,Single
1010,1010,3391,state changes,Updates made to the cluster state by clients or other nodes,process,Single
1011,1011,3395,RESTful API,"an architectural style for designing networked applications, emphasizing simplicity and scalability",protocol,Single
1012,1012,3397,majority,"the minimum number of etcd instances required for a quorum, ensuring the cluster can transition to a new state",concept,Single
1013,1013,3398,CRUD interface,"a set of operations (Create, Read, Update, Delete) provided by the Kubernetes API server for querying and modifying cluster state",protocol,Single
1014,1014,3399,optimistic locking,a mechanism used by the Kubernetes API server to prevent changes to an object from being overridden by other clients in concurrent updates,concept,Single
1015,1015,3401,resource validation,the process of verifying that a resource meets certain criteria before it is stored in etcd,concept,Single
1016,1016,3402,HTTP POST request,a type of HTTP request used by kubectl to create resources through the Kubernetes API server,protocol,Single
1017,1017,3403,Authentication Plugins,Plugins configured in the API server to authenticate clients sending requests.,Software,Single
1018,1018,3405,HTTP Request,The request sent by the client to the API server.,Network,Single
1019,1019,3406,Client Certificate,A certificate used by clients to authenticate themselves.,Software,Single
1020,1020,3407,HTTP Header,A header in the HTTP request that contains authentication information.,Network,Single
1021,1021,3408,Authorization Plugins,Plugins configured in the API server to determine whether authenticated users can perform actions on requested resources.,Software,Single
1022,1022,3412,Admission Control Plugins,Plugins that validate and/or modify resources in requests.,Software,Single
1023,1023,3413,AlwaysPullImages,An Admission Control plugin that overrides the pod's imagePullPolicy to Always.,Software,Single
1024,1024,3417,Admission Control plugins,Plugins that validate incoming requests before they are processed by the API server.,software,Single
1025,1025,3422,kubectl tool,A client used to interact with the API server and watch resources for changes.,software,Single
1026,1026,3423,HTTP connection,The protocol used by clients to connect to the API server and receive notifications of resource changes.,network,Single
1027,1027,3424,stream of modifications,A continuous flow of updates sent by the API server to connected clients watching resources.,process,Single
1028,1028,3425,watched objects,"Resources being observed by clients for changes, such as pods or services.",application,Single
1029,1029,3426,--watch flag,A command-line option used with kubectl to enable watching resources for changes.,software,Single
1030,1030,3427,GET /.../pods?watch=true,An HTTP request used by clients to watch pods for changes.,command,Single
1031,1031,3428,POST /.../pods/pod-xyz,An HTTP request used by clients to create a new pod resource.,command,Single
1032,1032,3429,Send updated object to all watchers,The process by which the API server notifies connected clients of changes to watched resources.,process,Single
1033,1033,3430,kubia-159041347-14j3i,pod name,container,Single
1034,1034,3435,watch mechanism,API server feature used by the Scheduler and Kubelet,network,Single
1035,1035,3439,kubectl get pods -o yaml --watch,command used to print pod definitions with watch mechanism,software,Single
1036,1036,3440,round-robin,algorithm used to prioritize nodes when multiple have the highest score,process,Single
1037,1037,3445,Predicate functions,Functions used to check node eligibility for pod scheduling,software,Single
1038,1038,3446,Hardware resources,"Resources such as CPU, memory, and disk space required by a pod",hardware,Single
1039,1039,3447,Memory pressure condition,Condition where a node is running low on memory,hardware,Single
1040,1040,3448,Disk pressure condition,Condition where a node is running low on disk space,hardware,Single
1041,1041,3449,Node selector,Label used to select specific nodes for pod scheduling,software,Single
1042,1042,3450,Host port,Port used by a pod to communicate with the host machine,network,Single
1043,1043,3452,Taints and tolerations,Mechanism for node affinity and anti-affinity rules,software,Single
1044,1044,3453,Affinity or anti-affinity rules,Rules used to select specific nodes for pod scheduling,software,Single
1045,1045,3464,ReplicationManager,Controller for ReplicationController resources,controller,Single
1046,1046,3475,Watch mechanism,Mechanism used by controllers to be notified of changes to resources,process,Single
1047,1047,3476,Re-list operation,Periodic operation performed by controllers to ensure they haven't missed any events,process,Single
1048,1048,3478,Constructor,Method used by controllers to create an Informer and initialize themselves,software,Single
1049,1049,3482,Pod resources,resources that represent running containers in the cluster,software,Single
1050,1050,3484,syncHandler,function that gets invoked each time the controller needs to do something,software,Single
1051,1051,3485,ReplicationController resources,resources that represent the desired replica count and actual replica count,software,Single
1052,1052,3486,Worker() method,method that gets invoked each time the controller needs to do something,software,Single
1053,1053,3507,EndPoints controller,The active component that keeps the endpoint list constantly updated with the IPs and ports of pods matching the label selector.,process,Single
1054,1054,3518,Kubernetes Service Proxies,components that perform load balancing across pods,application,Single
1055,1055,3523,rkt,container runtime used by CoreOS,software,Single
1056,1056,3526,Kubelet manifest directory,local directory where pod manifests are stored,file system,Single
1057,1057,3527,pod manifests,files that contain pod configuration information,file system,Single
1058,1058,3532,Kubernetes Service Proxy,Ensures connections to service IP and port end up at one of the pods backing that service,application,Single
1059,1059,3536,Worker node,A machine that runs the Kubelet and manages containers,hardware,Single
1060,1060,3540,userspace proxy mode,a mode of operation for kube-proxy where packets are handled in user space,process,Single
1061,1061,3541,in kernel space,a mode of operation for kube-proxy where packets are handled by the Kernel,process,Single
1062,1062,3542,round-robin fashion,a method of balancing connections across pods,algorithm,Single
1063,1063,3543,Kubernetes add-ons,components that enable additional features in a Kubernetes cluster,software,Single
1064,1064,3546,dashboard add-ons,components that provide a web interface for managing a Kubernetes cluster,software,Single
1065,1065,3552,default-http-backend,deployment for default HTTP backend,application,Single
1066,1066,3553,kubernetes-dashboard,deployment for Kubernetes dashboard,application,Single
1067,1067,3554,nginx-ingress-controller,deployment for Nginx ingress controller,application,Single
1068,1068,3555,DNS add-on,add-on for DNS service,software,Single
1069,1069,3559,cluster's internal DNS server,DNS service within the cluster,software,Single
1070,1070,3560,kube-dns service,service for Kubernetes DNS server,application,Single
1071,1071,3561,nameserver,DNS resolver in /etc/resolv.conf file,hardware,Single
1072,1072,3562,API server's watch mechanism,mechanism to observe changes to resources,software,Single
1073,1073,3563,Services and Endpoints,resources for services and endpoints,application,Single
1074,1074,3565,reverse proxy server,server to forward traffic to pods,hardware,Single
1075,1075,3591,ReplicaSet A,example ReplicaSet resource,application,Single
1076,1076,3593,Node X,example node in a Kubernetes cluster,hardware,Single
1077,1077,3597,ReplicaSet Controller,A specific controller that manages ReplicaSets,software,Single
1078,1078,3605,Event,A Kubernetes resource that represents a notification about a specific action or change,software,Single
1079,1079,3611,KIND,column in the events list that shows the type of resource being acted on,column,Single
1080,1080,3612,REASON,column in the events list that shows why a controller action was taken,column,Single
1081,1081,3613,SOURCE,column in the events list that shows which controller performed an action,column,Single
1082,1082,3614,deployment-controller,controller responsible for managing deployments in Kubernetes,controller,Single
1083,1083,3615,replicaset-controller,controller responsible for managing replica sets in Kubernetes,controller,Single
1084,1084,3616,default-scheduler,scheduler that assigns pods to nodes by default in Kubernetes,scheduler,Single
1085,1085,3627,docker,a containerization platform,software,Single
1086,1086,3628,minikubeVM,the virtual machine running minikube,hardware,Single
1087,1087,3629,CONTAINER ID,a unique identifier for a Docker container,attribute,Single
1088,1088,3630,IMAGE,the image used to create a Docker container,attribute,Single
1089,1089,3631,COMMAND,the command run by a Docker container,attribute,Single
1090,1090,3634,pod infrastructure container,a container that holds all the namespaces for a pod,container type,Single
1091,1091,3636,Inter-pod networking,communication between pods in Kubernetes,application,Single
1092,1092,3641,NAT,Network Address Translation,networking,Single
1093,1093,3645,IP: 10.1.1.1,IP address of Pod A,network,Single
1094,1094,3646,srcIP: 10.1.1.1,source IP address of packet sent by Pod A,network,Single
1095,1095,3647,dstIP: 10.1.2.1,destination IP address of packet sent by Pod A,network,Single
1096,1096,3651,Pod X,Client pod providing notification service,container,Single
1097,1097,3652,Pod Y,Notification service pod,container,Single
1098,1098,3654,NAT-less communication,Communication between pods without network address translation,process,Single
1099,1099,3655,pause container,Infrastructure container holding pod's IP address and network namespace,container,Single
1100,1100,3659,node-to-pod communication,Communication between a node and a pod,process,Single
1101,1101,3660,pod-to-node communication,Communication between a pod and a node,process,Single
1102,1102,3661,outbound packets,Packets sent from a pod to the internet,network,Single
1103,1103,3662,interface,The interface in the host's network namespace is attached to a network bridge.,network,Single
1104,1104,3669,overlay networks,"This can be done with overlay or underlay networks or by regular layer 3 routing, which we'll look at next.",network,Single
1105,1105,3670,underlay networks,"This can be done with overlay or underlay networks or by regular layer 3 routing, which we'll look at next.",network,Single
1106,1106,3671,layer 3 routing,The node's physical network interface needs to be connected to the bridge as well.,network,Single
1107,1107,3672,routing tables,"Routing tables on node A need to be configured so all packets destined for 10.1.2.0/24 are routed to node B, whereas node B's routing tables need to be configured so packets sent to 10.1.1.0/24 are routed to node A.",network,Single
1108,1108,3673,pod C,Pod C is running on Node B and has an IP address of 10.1.2.1.,application,Single
1109,1109,3677,physical adapter,Hardware component that connects a computer to a network,hardware/network,Single
1110,1110,3680,Software Defined Network (SDN),Network architecture that uses software to manage network behavior,hardware/network,Single
1111,1111,3681,Container Network Interface (CNI),Project that allows Kubernetes to use any CNI plugin,software/container,Single
1112,1112,3682,Calico,CNI plugin for container networking,software/container,Single
1113,1113,3684,Romana,CNI plugin for container networking,software/container,Single
1114,1114,3685,Weave Net,CNI plugin for container networking,software/container,Single
1115,1115,3694,Endpoints objects,holds the IP/port pairs of all the pods that back the service,database,Single
1116,1116,3697,network interfaces,not assigned to the service IP address and port,hardware,Single
1117,1117,3699,kube-proxy agents,"running on worker nodes, notified by API server when a new Service is created",process,Single
1118,1118,3701,kernel,the core part of an operating system that manages hardware resources,hardware,Single
1119,1119,3703,node A,a Kubernetes node running on machine A,application,Single
1120,1120,3704,node B,a Kubernetes node running on machine B,application,Single
1121,1121,3707,Pod B1,a containerized application running on a Kubernetes pod,container,Single
1122,1122,3708,Pod B2,a containerized application running on a Kubernetes pod,container,Single
1123,1123,3709,Pod B3,a containerized application running on a Kubernetes pod,container,Single
1124,1124,3710,Packet X,an example network packet being routed through the service,network,Single
1125,1125,3711,Service B,a Kubernetes service providing access to multiple backend pods,application,Single
1126,1126,3713,Endpoints B,a collection of IP addresses and ports associated with a Kubernetes service,database,Single
1127,1127,3720,Leader-election mechanism,Method for multiple app instances to agree on a leader,software,Single
1128,1128,3722,Kubernetes Control Plane components,Components responsible for managing Kubernetes cluster state,software,Single
1129,1129,3731,Load balancer,Component that distributes incoming traffic across multiple nodes,application,Single
1130,1130,3732,Master node,Node that runs the Control Plane components,node,Single
1131,1131,3738,--leader-elect option,an option that controls which instance is active at a time,command,Single
1132,1132,3746,leader election mechanism,a way to elect a leader in control plane components,process,Single
1133,1133,3749,kube-scheduler,an instance of the Scheduler component,software,Single
1134,1134,3752,get endpoints,a command used to retrieve information about an Endpoints resource,command,Single
1135,1135,3753,leaderTransitions,a field in the leader election annotation,field,Single
1136,1136,3754,leaseDurationSeconds,a field in the leader election annotation,field,Single
1137,1137,3761,Infrastructure Container,binds together all containers of a pod,container,Single
1138,1138,3762,Network Bridge,connects pods running on different nodes,network,Single
1139,1139,3765,ServiceAccount token,A token used to authenticate with the Kubernetes API server.,process,Single
1140,1140,3774,default roles and bindings,Pre-configured Roles and RoleBindings provided by Kubernetes.,database,Single
1141,1141,3776,API server core,the central part of the API server that receives requests from authentication plugins,application,Single
1142,1142,3777,client certificate,a method used by authentication plugins to obtain the identity of the client,hardware,Single
1143,1143,3778,authentication token,a method used by authentication plugins to obtain the identity of the client through an HTTP header,software,Single
1144,1144,3779,Basic HTTP authentication,a method used by authentication plugins to obtain the identity of the client,software,Single
1145,1145,3782,service accounts,a mechanism used by pods to authenticate themselves,software,Single
1146,1146,3783,ServiceAccount resources,resources created and stored in the cluster for service accounts,database,Single
1147,1147,3787,system:unauthenticated group,Used for requests where none of the authentication plugins could authenticate the client.,group,Single
1148,1148,3788,system:authenticated group,Automatically assigned to a user who was authenticated successfully.,group,Single
1149,1149,3789,system:serviceaccounts group,Encompasses all ServiceAccounts in the system.,group,Single
1150,1150,3792,ServiceAccount usernames,"Formatted like system:serviceaccount:<namespace>:<service account name>, and are passed to the API server core for authorization.",string,Single
1151,1151,3794,ServiceAccounts resource,"A resource just like Pods, Secrets, ConfigMaps, and so on, scoped to individual namespaces.",resource,Single
1152,1152,3796,$ kubectl get sa,A command used to list ServiceAccounts in a namespace.,command,Single
1153,1153,3803,cluster administrator,"The cluster administrator is responsible for configuring and managing the Kubernetes cluster, including setting up authorization plugins.",hardware,Single
1154,1154,3809,sa,abbreviation for ServiceAccount,application,Single
1155,1155,3810,foo-token-qzq7j,token Secret associated with the foo ServiceAccount,secret,Single
1156,1156,3811,JSON Web Tokens (JWT),a type of authentication token used in ServiceAccounts,software,Single
1157,1157,3815,Mountable secrets,list of Secrets that can be mounted inside a pod using a ServiceAccount,application,Single
1158,1158,3821,image pull Secrets,Secrets that hold the credentials for pulling container images from a private image repository.,database,Single
1159,1159,3822,mountable Secrets,"Secrets that can be mounted by a pod, allowing it to access sensitive information.",database,Single
1160,1160,3833,foo ServiceAccount,Custom ServiceAccount used in the example,software,Single
1161,1161,3837,/var/run/secrets/kubernetes.io/serviceaccount/token,Path to the ServiceAccount token file,path,Single
1162,1162,3839,localhost:8001/api/v1/pods,API endpoint for listing pods,url,Single
1163,1163,3843,Role-Based Access Control (RBAC),A plugin used to secure the cluster by preventing unauthorized users from viewing or modifying the cluster state.,authorization,Single
1164,1164,3845,RBAC authorization plugin,"A plugin that enables role-based access control in a Kubernetes cluster, preventing unauthorized users from viewing or modifying the cluster state.",authorization,Single
1165,1165,3846,Attribute-Based Access Control (ABAC),An authorization plugin that allows access to be controlled based on attributes of users and resources.,authorization,Single
1166,1166,3847,Web-Hook plugin,An authorization plugin that uses web hooks to control access to a Kubernetes cluster.,authorization,Single
1167,1167,3848,custom plugin implementations,Custom plugins implemented by users to control access to a Kubernetes cluster.,authorization,Single
1168,1168,3850,REST resources,"Resources in a Kubernetes cluster that can be accessed using HTTP requests, such as Pods, Services, Secrets, etc.",application,Single
1169,1169,3853,PUT request,A type of HTTP request used to update existing resources in a Kubernetes cluster.,protocol,Single
1170,1170,3854,DELETE request,A type of HTTP request used to delete resources from a Kubernetes cluster.,protocol,Single
1171,1171,3860,roles,User-defined roles that define permissions for users or ServiceAccounts,process,Single
1172,1172,3878,clusterrole,Resource that defines permissions for a cluster-wide role,resource,Single
1173,1173,3895,Role resource,allows users to get and list Services in the foo namespace,software,Single
1174,1174,3913,YAML file,file format for defining Kubernetes resources,software,Single
1175,1175,3915,cluster-admin rights,permissions required to manage a Kubernetes cluster,software,Single
1176,1176,3920,--verb=get,command-line option for specifying the actions allowed by a Role,software,Single
1177,1177,3921,--verb=list,command-line option for specifying the actions allowed by a Role,software,Single
1178,1178,3922,--resource=services,command-line option for specifying the resources affected by a Role,software,Single
1179,1179,3923,--namespace=foo,command-line option for specifying the namespace in which to create a resource,software,Single
1180,1180,3924,--clusterrolebinding,command-line option for creating a clusterrolebinding resource,software,Single
1181,1181,3932,ServiceList,A Kubernetes object that represents a list of Services.,software,Single
1182,1182,3934,localhost:8001/api/v1/namespaces/foo/services,The URL of the Kubernetes API server to list Services in the foo namespace.,network,Single
1183,1183,3937,rolebinding,"a resource that binds a role to a set of subjects, such as users or service accounts",software,Single
1184,1184,3939,role,a resource that defines a set of permissions within a Kubernetes namespace,software,Single
1185,1185,3946,test,a role binding name,software,Single
1186,1186,3955,Service-Accounts,An identity for a service running in a Kubernetes cluster.,resource,Single
1188,1188,3963,persistentvolumes,a resource type in Kubernetes that represents a persistent volume,software,Single
1189,1189,3984,PersistentVolumeList,A list of PersistentVolumes in the cluster.,software,Single
1190,1190,3990,/api/*,A non-resource URL pattern exposed by the API server.,network,Single
1191,1191,3992,/apis/*,A non-resource URL pattern exposed by the API server.,network,Single
1192,1192,3993,/healthz,A non-resource URL exposed by the API server.,network,Single
1193,1193,3994,/swaggerapi,A non-resource URL exposed by the API server.,network,Single
1194,1194,3995,/swaggerapi/*,A non-resource URL pattern exposed by the API server.,network,Single
1195,1195,3996,/version,A non-resource URL exposed by the API server.,network,Single
1196,1196,3998,get clusterrole system:discovery -o yaml,A command used to retrieve the system:discovery ClusterRole in YAML format.,software,Single
1197,1197,4005,system:discovery,A specific ClusterRole and ClusterRoleBinding used for discovery purposes.,software,Single
1198,1198,4009,system:authenticated,A group that represents all authenticated users in a Kubernetes cluster.,software,Single
1199,1199,4010,system:unauthenticated,A group that represents all unauthenticated users in a Kubernetes cluster.,software,Single
1200,1200,4011,authentication plugin,A component of the Kubernetes API server responsible for authenticating incoming requests.,software,Single
1201,1201,4018,APIVersions,a Kubernetes concept for managing API versions,software,Single
1202,1202,4020,view,a predefined ClusterRole that allows reading namespaced resources,software,Single
1203,1203,4025,replicationcontrollers,a type of Kubernetes resource for managing replication and scaling,software,Single
1204,1204,4035,/api/v1/pods,An API endpoint that lists pods across all namespaces.,API Endpoint,Single
1205,1205,4036,/api/v1/namespaces/foo/pods,An API endpoint that lists pods in a specific namespace (foo).,API Endpoint,Single
1206,1206,4056,localhost:8001/api/v1/namespaces/bar/pods,A URL endpoint for listing pods in the 'bar' namespace.,url,Single
1207,1207,4057,system:serviceaccount:foo:default,A service account user with permissions to list pods in the 'foo' namespace.,user,Single
1208,1208,4074,system:auth-delegator,a ClusterRole that grants authentication delegation permissions in a Kubernetes cluster,software,Single
1209,1209,4075,system:basic-user,a ClusterRole that grants basic user permissions in a Kubernetes cluster,software,Single
1210,1210,4076,system:controller:attachdetach-controller,a ClusterRole that grants attach/detach controller permissions in a Kubernetes cluster,software,Single
1211,1211,4079,view ClusterRole,"It allows read-ing most resources in a namespace, except for Roles, RoleBindings, and Secrets.",software,Single
1212,1212,4083,edit ClusterRole,"It allows you to modify resources in a namespace, but also allows both reading and modifying Secrets.",software,Single
1213,1213,4084,admin ClusterRole,Complete control of the resources in a namespace is granted in the admin Cluster-Role.,software,Single
1214,1214,4085,cluster-admin ClusterRole,"Subjects with this ClusterRole can read and modify any resource in the namespace, except ResourceQuotas (we’ll learn what those are in chapter 14) and the Namespace resource itself.",software,Single
1215,1215,4086,ResourceQuotas,They’re used to limit the resources that a namespace can use.,software,Single
1216,1216,4098,ClusterAdmin,The highest level of permissions in the cluster,application,Single
1217,1217,4099,ServiceAccountName,A property that specifies the service account to use for a pod,application,Single
1218,1218,4101,ServiceAccountToken,An authentication token used by a ServiceAccount to authenticate with the API server,database,Single
1219,1219,4117,policies,rules that govern what pods can do,software,Single
1220,1220,4120,IP and port space,Each pod gets its own IP and port space,network,Single
1221,1221,4123,Inter-Process Communication (IPC),Mechanism for processes in the same pod to communicate,process,Single
1222,1222,4124,hostNetwork property,Allow pods to use node's network interfaces instead of their own,network,Single
1223,1223,4125,node's network adapters,Pods can use node's network adapters instead of virtual network adapters,hardware,Single
1224,1224,4126,virtual network adapters,Pods have their own virtual network adapters,hardware,Single
1225,1225,4130,eth1,Node's network interface,network,Single
1226,1226,4137,ifconfig,a command to display network interface information,command,Single
1227,1227,4141,veth1178d4f,a virtual Ethernet interface for a pod,hardware,Single
1228,1228,4156,port 9000,A port on the node that is bound to the pod's port 8080.,hardware/network,Single
1229,1229,4159,firewall-rules,Rules used to configure the firewall in GKE.,hardware/network,Single
1230,1230,4163,pod-with-host-pid-and-ipc.yaml,A YAML file used to define a pod that uses the host's PID and IPC namespaces.,software/configuration,Single
1231,1231,4164,kubia-hostport.yaml,A YAML file used to define a pod that binds to a port on the node.,software/configuration,Single
1232,1232,4168,ps aux,Unix command to list processes,command,Single
1233,1233,4170,Inter-Process Communication,mechanism for processes to communicate with each other,process,Single
1234,1234,4172,user ID,ID of the user under which a process will run,process,Single
1235,1235,4174,privileged mode,mode that gives full access to the node's kernel,property,Single
1236,1236,4176,SELinux,Security Enhanced Linux options to lock down a container,property,Single
1237,1237,4178,hostPID: true,property to enable processes in the pod's containers to communicate with host processes,property,Single
1238,1238,4183,bin,system binary directory,hardware,Single
1239,1239,4184,daemon,system daemon process,process,Single
1240,1240,4185,sys,system group,group,Single
1241,1241,4186,adm,administrators group,group,Single
1242,1242,4188,wheel,superuser group,group,Single
1243,1243,4189,floppy,floppy disk device group,hardware,Single
1244,1244,4190,dialout,dial-out modem group,group,Single
1245,1245,4191,tape,tape drive device group,hardware,Single
1246,1246,4192,video,video display device group,hardware,Single
1247,1247,4204,runAsNonRoot,A boolean flag that specifies whether a container should be allowed to run as root or not.,process,Single
1248,1248,4215,/dev,A special file directory on Linux systems containing device files for all devices on the system.,directory,Single
1249,1249,4216,device files,Special files used to communicate with devices on a Linux system.,files,Single
1250,1250,4222,/dev/null,A special file in Linux systems used to discard output or redirect input.,file,Single
1251,1251,4223,/dev/zero,A special file in Linux systems that generates a stream of zeros.,file,Single
1252,1252,4224,/dev/random,A special file in Linux systems that generates a stream of random numbers.,file,Single
1253,1253,4225,btrfs-control,device,hardware,Single
1254,1254,4226,stderr,file descriptor,process,Single
1255,1255,4227,tty48,terminal device,hardware,Single
1256,1256,4228,core,system core file,software,Single
1257,1257,4229,stdin,standard input stream,process,Single
1258,1258,4230,tty49,terminal device,hardware,Single
1259,1259,4231,stdout,standard output stream,process,Single
1260,1260,4232,tty5,terminal device,hardware,Single
1261,1261,4233,cpu_dma_latency,CPU DMA latency file,software,Single
1262,1262,4234,termination-log,system log file,software,Single
1263,1263,4235,tty50,terminal device,hardware,Single
1264,1264,4236,fd,file descriptor,process,Single
1265,1265,4237,tty,terminal device,hardware,Single
1266,1266,4238,tty51,terminal device,hardware,Single
1267,1267,4239,full,device,hardware,Single
1268,1268,4240,tty0,terminal device,hardware,Single
1269,1269,4241,fuse,file system,software,Single
1270,1270,4242,tty1,terminal device,hardware,Single
1271,1271,4243,hpet,high precision event timer,hardware,Single
1272,1272,4244,tty10,terminal device,hardware,Single
1273,1273,4245,hwrng,hardware random number generator,hardware,Single
1274,1274,4246,tty11,terminal device,hardware,Single
1275,1275,4247,privileged container,container with elevated privileges,software,Single
1276,1276,4248,CAP_SYS_TIME,kernel capability to set system time,software,Single
1277,1277,4253,Linux kernel capabilities,Capabilities that can be used by a container to perform specific actions.,software,Single
1278,1278,4254,CAP_,Prefix for Linux kernel capabilities.,software,Single
1279,1279,4262,pod-add-settime-capability,Name of a pod that has been created with the SYS_TIME capability.,container,Single
1280,1280,4267,/tmp,Directory where temporary files are stored.,filesystem,Single
1281,1281,4270,securityContext.capabilities.drop,property in Kubernetes Pod configuration to drop specific capabilities,configuration,Single
